Date,AAPL,GOOG,MSFT
2020-01-02,72.62083435058594,67.96450805664062,153.0422821044922
2020-01-03,71.9148178100586,67.63099670410156,151.1366424560547
2020-01-06,72.48785400390625,69.298583984375,151.52731323242188
2020-01-07,72.14691925048828,69.25533294677734,150.145751953125
2020-01-08,73.30752563476562,69.80109405517578,152.53732299804688
2020-01-09,74.86460876464844,70.57201385498047,154.4429473876953
2020-01-10,75.03385925292969,71.06409454345703,153.7283172607422
2020-01-13,76.63693237304688,71.53627014160156,155.5767822265625
2020-01-14,75.60208892822266,71.12124633789062,154.4810791015625
2020-01-15,75.27809143066406,71.53478240966797,155.4815673828125
2020-01-16,76.22105407714844,72.15608978271484,158.33045959472656
2020-01-17,77.06489562988281,73.58212280273438,159.2166290283203
2020-01-21,76.54264068603516,73.78143310546875,158.64491271972656
2020-01-22,76.81584930419922,73.85847473144531,157.8826141357422
2020-01-23,77.18578338623047,73.89326477050781,158.85450744628906
2020-01-24,76.96334838867188,72.90216064453125,157.2537384033203
2020-01-27,74.70020294189453,71.27135467529297,154.62399291992188
2020-01-28,76.81343078613281,72.19883728027344,157.65396118164062
2020-01-29,78.42131805419922,72.50055694580078,160.11219787597656
2020-01-30,78.30768585205078,72.36187744140625,164.6285858154297
2020-01-31,74.83560943603516,71.28775024414062,162.1989288330078
2020-02-03,74.63007354736328,73.85797119140625,166.15318298339844
2020-02-04,77.09391784667969,71.92595672607422,171.62232971191406
2020-02-05,77.72254943847656,71.98361206054688,171.41268920898438
2020-02-06,78.63166046142578,73.3753433227539,174.96673583984375
2020-02-07,77.56285095214844,73.52446746826172,175.21446228027344
2020-02-10,77.93124389648438,74.9882583618164,179.79751586914062
2020-02-11,77.4610595703125,74.99372100830078,175.73854064941406
2020-02-12,79.30059051513672,75.46492767333984,175.9958038330078
2020-02-13,78.73589324951172,75.2854995727539,175.04298400878906
2020-02-14,78.75526428222656,75.58769989013672,176.60556030273438
2020-02-18,77.31320190429688,75.53450775146484,178.3969268798828
2020-02-19,78.43293762207031,75.88343811035156,178.93191528320312
2020-02-20,77.6282958984375,75.45896911621094,176.19944763183594
2020-02-21,75.87116241455078,73.81671905517578,170.62928771972656
2020-02-24,72.26727294921875,70.65949249267578,163.27255249023438
2020-02-25,69.81939697265625,69.01228332519531,160.57826232910156
2020-02-26,70.927001953125,69.24738311767578,162.5846405029297
2020-02-27,66.2906494140625,65.51506805419922,151.1290740966797
2020-02-28,66.2518539428711,66.57080078125,154.788330078125
2020-03-02,72.4199447631836,69.04508209228516,165.08782958984375
2020-03-03,70.11994171142578,66.67317962646484,157.1768798828125
2020-03-04,73.3724365234375,68.91635131835938,162.94769287109375
2020-03-05,70.99244689941406,65.56229400634766,158.85845947265625
2020-03-06,70.0496597290039,64.5368881225586,154.3679656982422
2020-03-09,64.50929260253906,60.418861389160156,143.9060516357422
2020-03-10,69.15534973144531,63.64120864868164,153.74696350097656
2020-03-11,66.7535400390625,60.411407470703125,146.78189086914062
2020-03-12,60.16132354736328,55.41609573364258,132.86138916015625
2020-03-13,67.36913299560547,60.626129150390625,151.7501220703125
2020-03-16,58.70231246948242,53.8961296081543,129.38360595703125
2020-03-17,61.28346252441406,55.659149169921875,140.03659057617188
2020-03-18,59.783233642578125,54.51594543457031,134.1416473388672
2020-03-19,59.325164794921875,55.43498611450195,136.3486785888672
2020-03-20,55.55888748168945,53.2991828918457,131.2275848388672
2020-03-23,54.37857437133789,52.518821716308594,129.91864013671875
2020-03-24,59.834129333496094,56.38782501220703,141.72769165039062
2020-03-25,59.50452423095703,54.798770904541016,140.3709716796875
2020-03-26,62.63582992553711,57.7442626953125,149.15133666992188
2020-03-27,60.042572021484375,55.20733642578125,143.027099609375
2020-03-30,61.75605773925781,57.002166748046875,153.0877227783203
2020-03-31,61.63002395629883,57.79694747924805,150.68002319335938
2020-04-01,58.38724136352539,54.954341888427734,145.32968139648438
2020-04-02,59.36152648925781,55.710845947265625,148.3392333984375
2020-04-03,58.5084228515625,54.56962585449219,146.9729766845703
2020-04-06,63.61253356933594,58.995323181152344,157.903076171875
2020-04-07,62.875770568847656,58.97494125366211,156.20237731933594
2020-04-08,64.48504638671875,60.15642547607422,157.76927185058594
2020-04-09,64.95037078857422,60.21457290649414,157.77883911132812
2020-04-13,66.22520446777344,60.51826858520508,158.13233947753906
2020-04-14,69.56977844238281,63.08650207519531,165.9572296142578
2020-04-15,68.93479919433594,62.7504997253418,164.21841430664062
2020-04-16,69.48252868652344,62.80020523071289,169.14837646484375
2020-04-17,68.53974151611328,63.783363342285156,170.6388397216797
2020-04-20,67.11708068847656,62.95627975463867,167.2566680908203
2020-04-21,65.0424575805664,60.457637786865234,160.33935546875
2020-04-22,66.9159164428711,62.78728103637695,165.7853240966797
2020-04-23,66.65660095214844,63.438411712646484,163.77891540527344
2020-04-24,68.58094787597656,63.5875244140625,166.76934814453125
2020-04-27,68.62940979003906,63.41703414916992,166.29168701171875
2020-04-28,67.51697540283203,61.319007873535156,162.2406768798828
2020-04-29,69.73460388183594,66.67765045166016,169.52101135253906
2020-04-30,71.20572662353516,67.0345458984375,171.2216796875
2020-05-01,70.05935668945312,65.64031982421875,166.78851318359375
2020-05-04,71.05062866210938,65.94799041748047,170.86813354492188
2020-05-05,72.11699676513672,67.15631103515625,172.7025909423828
2020-05-06,72.8610610961914,66.9669418334961,174.40321350097656
2020-05-07,73.61479949951172,68.22247314453125,175.416015625
2020-05-08,75.36695098876953,69.00830841064453,176.4478302001953
2020-05-11,76.5528793334961,69.7484130859375,178.41603088378906
